identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
5513045684741083132,user,Etats-Unis,en,3,8,16,0,0,0.0,1,0,F,2,mrs,False,False,False,True,45,2858,95.27,7.94,us
-760788505600511833,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,us
-1535018551683723351,user,Pays-Bas,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,nl
-5795080875299336089,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,697,2858,95.27,7.94,fr
-8612241595211872857,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,635,2858,95.27,7.94,fr
-8148143111552962610,user,Australie,en,5,8,1,0,0,0.0,1,1,M,1,mr,True,False,True,True,652,2858,95.27,7.94,au
-236458939346467389,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,697,2858,95.27,7.94,fr
4794163783911223263,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,fr
-8870798905095533094,user,Hong Kong,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,hk
2634649369524217260,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,es
7102726867379969239,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,697,2858,95.27,7.94,it
2882570853144500346,user,Nouvelle Zélande,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,nz
4523239782922045619,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,us
1997606862557510930,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,12,2858,95.27,7.94,au
5539926978465930167,user,Italie,it,3,8,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,550,2858,95.27,7.94,it
8243911731861098862,user,Danemark,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,697,2858,95.27,7.94,dk
-8219533121566989031,user,Suisse,fr,6,8,0,0,1,0.0,0,0,F,2,mrs,True,False,True,True,255,2858,95.27,7.94,ch
-41635041182985372,user,Belgique,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,697,2858,95.27,7.94,be
-7087920334038721007,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,297,2858,95.27,7.94,fr
8474787927014898386,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,157,2858,95.27,7.94,fr
4797752112754555052,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,us
-2933761086759436971,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,478,2858,95.27,7.94,fr
-7211626303264316353,user,Suisse,de,3,8,1,0,0,0.0,0,0,M,1,mr,False,False,False,True,385,2858,95.27,7.94,ch
-4298631448196854632,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,101,2858,95.27,7.94,fr
-3555753973644326334,user,Suède,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,511,2858,95.27,7.94,se
-4008198372477006122,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,697,2858,95.27,7.94,fr
