identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
2723601750320451904,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,683,3200,106.67,8.89,gb
5092715284200644041,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,664,3200,106.67,8.89,fr
7244164843790224844,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,531,3200,106.67,8.89,fr
2274409502765683248,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
921109120447088473,user,Royaume-Uni,en,4,8,37,0,0,0.0,1,1,F,2,mrs,False,False,False,True,425,3200,106.67,8.89,gb
-3707628892134427526,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,340,3200,106.67,8.89,fr
-555085870330410069,user,France,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
-479071691473021829,user,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,fr
8222757823246631515,user,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,fr
4643107687172309540,user,Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,16,3200,106.67,8.89,dk
2877462542637256981,user,Royaume-Uni,en,3,8,1,0,0,0.0,0,0,M,1,mr,True,False,True,True,181,3200,106.67,8.89,gb
2317808203838584468,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,gb
-1797261051746962767,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,au
-2722167887525940835,user,Finlande,en,7,8,0,0,0,0.0,0,2,F,2,mrs,False,False,False,True,28,3200,106.67,8.89,fi
-3208673238223249189,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,gb
-7366745799057729685,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,667,3200,106.67,8.89,gb
6223460555877937071,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,es
4812210751615841873,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,gb
8161993392463469740,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
-4077119899934524720,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,gb
9094709060331129988,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
8401180789476792230,user,Italie,it,7,6,4,0,0,0.0,2,0,F,2,mrs,False,False,False,True,210,3200,106.67,8.89,it
-3747961774563832644,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,us
-3053872604995511099,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,gb
-8201634478137305442,user,Etats-Unis,en,3,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,454,3200,106.67,8.89,us
-5189450541013929078,user,Allemagne,de,5,5,0,0,0,0.0,0,9,F,2,mrs,False,False,False,True,19,3200,106.67,8.89,de
8962472288243461974,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,345,3200,106.67,8.89,fr
546373026176928084,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,au
-7058930274899632920,user,Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,dk
3571693377914501747,user,Arabie Saoudite,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,sa
2960649807504267426,user,Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,693,3200,106.67,8.89,dk
-4336650980984201045,user,Espagne,es,3,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,es
5410426126987673496,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,it
4151522761798604242,user,Suisse,fr,9,8,7,0,0,0.0,0,0,M,1,mr,True,False,True,False,317,3200,106.67,8.89,ch
-7352981042367080142,user,Suisse,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,663,3200,106.67,8.89,ch
8159039638722445785,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
6972612178020710463,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,fr
7304725298564296567,user,Etats-Unis,en,4,8,0,0,0,0.0,4,1,F,2,mrs,False,False,False,True,69,3200,106.67,8.89,us
3722281979955107966,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,it
9055411249702342490,user,Espagne,es,3,8,0,0,0,0.0,2,0,F,2,mrs,True,False,True,True,220,3200,106.67,8.89,es
7908491966629928763,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,578,3200,106.67,8.89,de
5231401269141029461,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,703,3200,106.67,8.89,de
-1674057808839427424,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,657,3200,106.67,8.89,au
6791272071501427406,user,Suède,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,449,3200,106.67,8.89,se
-6313426710962160636,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,fr
-3947701870267344089,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
8006843005177748491,user,Grèce,en,8,8,2,0,0,0.0,4,2,F,2,mrs,False,False,False,True,203,3200,106.67,8.89,gr
-5051987553209753484,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,gb
-3410985951460344676,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
8335292441981635341,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,704,3200,106.67,8.89,fr
6781245604522238711,user,Etats-Unis,en,3,8,4,0,0,0.0,0,0,F,2,mrs,True,False,True,True,671,3200,106.67,8.89,us
5123232679550005212,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
5988896866696702174,user,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,695,3200,106.67,8.89,fr
8492181960085026773,user,Pays-Bas,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,nl
-6619729877228759847,user,Suède,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,704,3200,106.67,8.89,se
-2024568858309737654,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,704,3200,106.67,8.89,au
2978387774290896770,user,Italie,it,3,8,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,704,3200,106.67,8.89,it
-2263316177206198051,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,au
-4215691789898723095,user,Finlande,en,10,8,42,0,1,0.0,6,2,F,3,miss,True,False,True,True,101,3200,106.67,8.89,fi
3185524070891776983,user,Irlande,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,ie
-6570830198519091095,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,24,3200,106.67,8.89,de
8861997929837980269,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
-480563379956712545,user,France,fr,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,108,3200,106.67,8.89,fr
7295651371511890407,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,fr
-1294501934258855787,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,704,3200,106.67,8.89,es
66444135964483975,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,698,3200,106.67,8.89,gb
7384844356357285572,user,Allemagne,de,5,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,612,3200,106.67,8.89,de
-5754786770790541856,user,Royaume-Uni,en,4,9,22,0,0,0.0,4,1,F,2,mrs,False,False,False,True,579,3200,106.67,8.89,gb
-5898587969617098960,user,Australie,en,4,8,25,0,0,0.0,6,0,F,2,mrs,False,False,False,True,11,3200,106.67,8.89,au
7627414263815733346,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,199,3200,106.67,8.89,it
-8459139022232972456,user,Italie,it,12,12,93,0,0,0.0,1,4,F,2,mrs,True,True,False,True,524,3200,106.67,8.89,it
2941297124788048751,user,Pays-Bas,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,nl
6494919731360927449,user,Suède,en,3,8,19,0,0,0.0,0,0,M,1,mr,False,False,False,True,143,3200,106.67,8.89,se
-4370532810829285331,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,de
-5236119257765478618,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,us
-5590284100776941579,user,Royaume-Uni,en,4,8,1,0,0,0.0,0,1,F,2,mrs,False,False,False,False,118,3200,106.67,8.89,gb
8131046507480392781,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,us
8389961955365794679,user,Allemagne,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,de
4782961289045381778,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,704,3200,106.67,8.89,de
